iter	Passed	Remaining
839	4872	928
840	4878	922
841	4883	916
842	4889	910
843	4895	904
844	4901	899
845	4907	893
846	4912	887
847	4918	881
848	4924	875
849	4929	869
850	4935	864
851	4941	858
852	4946	852
853	4953	846
854	4958	840
855	4964	835
856	4970	829
857	4976	823
858	4981	817
859	4987	811
860	4992	806
861	5000	800
862	5009	795
863	5015	789
864	5021	783
865	5027	777
866	5034	772
867	5040	766
868	5045	760
869	5051	754
870	5057	749
871	5063	743
872	5068	737
873	5073	731
874	5078	725
875	5083	719
876	5088	713
877	5094	707
878	5099	701
879	5104	696
880	5110	690
881	5115	684
882	5120	678
883	5125	672
884	5131	666
885	5135	660
886	5140	654
887	5146	649
888	5150	643
889	5155	637
890	5161	631
891	5166	625
892	5171	619
893	5177	613
894	5182	608
895	5187	602
896	5193	596
897	5199	590
898	5204	584
899	5210	578
900	5215	573
901	5220	567
902	5226	561
903	5231	555
904	5236	549
905	5242	543
906	5247	538
907	5252	532
908	5257	526
909	5262	520
910	5267	514
911	5273	508
912	5278	502
913	5283	497
914	5288	491
915	5293	485
916	5299	479
917	5305	473
918	5310	468
919	5315	462
920	5320	456
921	5325	450
922	5330	444
923	5336	438
924	5341	433
925	5346	427
926	5351	421
927	5356	415
928	5360	409
929	5365	403
930	5371	398
931	5376	392
932	5381	386
933	5386	380
934	5391	374
935	5396	368
936	5401	363
937	5406	357
938	5411	351
939	5416	345
940	5422	339
941	5427	334
942	5434	328
943	5439	322
944	5444	316
945	5451	311
946	5457	305
947	5463	299
948	5469	293
949	5475	288
950	5482	282
951	5488	276
952	5493	270
953	5500	265
954	5505	259
955	5511	253
956	5516	247
957	5521	242
958	5527	236
959	5532	230
960	5537	224
961	5543	218
962	5548	213
963	5553	207
964	5558	201
965	5563	195
966	5568	190
967	5573	184
968	5579	178
969	5584	172
970	5589	166
971	5595	161
972	5600	155
973	5604	149
974	5610	143
975	5615	138
976	5620	132
977	5626	126
978	5631	120
979	5636	115
980	5642	109
981	5647	103
982	5652	97
983	5657	91
984	5662	86
985	5667	80
986	5673	74
987	5678	68
988	5683	63
989	5690	57
990	5695	51
991	5701	45
992	5707	40
993	5712	34
994	5717	28
995	5723	22
996	5728	17
997	5735	11
998	5740	5
999	5745	0
